Reef.ID,Reef.Name,Ocean,Country,State.Province.Island,City.Town,Year,Date,Depth,Organism.Code,S1,S2,S3,S4,Errors.,What.errors.,Average_bleaching,ClimSST,Temperature_Kelvin,Temperature_Mean,Temperature_Minimum,Temperature_Maximum,Temperature_Kelvin_Standard_Deviation,Windspeed,SSTA,SSTA_Standard_Deviation,SSTA_Mean,SSTA_Minimum,SSTA_Maximum,SSTA_Frequency,SSTA_Frequency_Standard_Deviation,SSTA_FrequencyMax,SSTA_FrequencyMean,SSTA_DHW,SSTA_DHW_Standard_Deviation,SSTA_DHWMax,SSTA_DHWMean,TSA,TSA_Standard_Deviation,TSA_Minimum,TSA_Maximum,TSA_Mean,TSA_Frequency,TSA_Frequency_Standard_Deviation,TSA_FrequencyMax,TSA_FrequencyMean,TSA_DHW,TSA_DHW_Standard_Deviation,TSA_DHWMax,TSA_DHWMean,Region,Diversity,rate_of_SST_change,Longitude.Degrees,Latitude.Degrees
34.55.36.4E.25.0.49.9N,Marsa Samadai North,Red Sea,Egypt,Red Sea,Marsa Alam,2005,23-Mar-05,5.5,Bleaching (% of population),0,0,0,0,FALSE,,0,297.09,295.16,298.58,293.1,304.58,2.54,3,-0.59,0.97,0,-3.17,2.97,3,7.63,36,7,0,4.17,25.17,2.55,-6.75,2.54,-8.8,2.66,-3.32,0,2.59,10,2,0,2.13,17.24,0.71,ERG001,310,0.020782828,34.92677778,25.01386111
34.55.36.4E.25.0.49.9N,Marsa Samadai North,Red Sea,Egypt,Red Sea,Marsa Alam,2007,1-Oct-07,6,Bleaching (% of population),0,0,0,0,FALSE,,0,299.73,301.4,298.58,293.1,304.58,2.54,4,0.13,0.97,0,-3.17,2.97,18,7.63,36,7,14.52,4.17,25.17,2.55,-0.51,2.54,-8.8,2.66,-3.32,6,2.59,10,2,10.65,2.13,17.24,0.71,ERG001,310,0.020782828,34.92677778,25.01386111
34.55.36.4E.25.0.49.9N,Marsa Samadai North,Red Sea,Egypt,Red Sea,Marsa Alam,2007,1-Oct-07,12,Bleaching (% of population),0,0,0,0,FALSE,,0,299.73,301.4,298.58,293.1,304.58,2.54,4,0.13,0.97,0,-3.17,2.97,18,7.63,36,7,14.52,4.17,25.17,2.55,-0.51,2.54,-8.8,2.66,-3.32,6,2.59,10,2,10.65,2.13,17.24,0.71,ERG001,310,0.020782828,34.92677778,25.01386111
34.56.168E.24.57.859N,"Tondoba Bay, outer reef North",Red Sea,Egypt,Red Sea,Marsa Alam,2004,21-Sep-04,4.5,Bleaching (% of population),0,0,0,0,TRUE,"substrate incomplete, not entered",0,262.15,301.095,298.6025,293.15,304.7025,2.555,3,-0.495,0.955,0,-3.1375,3.0875,1.75,7.4925,35.75,7,0,4.0975,24.0875,2.5025,-0.8975,2.555,-8.8325,2.7,-3.3775,0,2.615,10.25,1.5,0,2.1025,17.0925,0.6725,NA,NA,0.013383838,34.93613889,24.96430556
34.56.168E.24.57.859N,"Tondoba Bay, outer reef North",Red Sea,Egypt,Red Sea,Marsa Alam,2005,18-May-05,8,Bleaching (% of population),0,0,0,0,FALSE,,0,262.15,299.255,298.6025,293.15,304.7025,2.555,4,0.84,0.955,0,-3.1375,3.0875,4.25,7.4925,35.75,7,1.505,4.0975,24.0875,2.5025,-2.7375,2.555,-8.8325,2.7,-3.3775,0,2.615,10.25,1.5,0,2.1025,17.0925,0.6725,NA,NA,0.013383838,34.93613889,24.96430556
34.56.29.7E.24.58.03N,Markas Ratz South,Red Sea,Egypt,Red Sea,Marsa Alam,2007,8-Oct-07,6,Bleaching (% of population),0,0,0,0,FALSE,,0,262.15,300.51,298.6025,293.15,304.7025,2.555,4,-0.495,0.955,0,-3.1375,3.0875,18.75,7.4925,35.75,7,13.1725,4.0975,24.0875,2.5025,-1.48,2.555,-8.8325,2.7,-3.3775,6.75,2.615,10.25,1.5,11.395,2.1025,17.0925,0.6725,ERG001,310,0.013383838,34.94158333,24.9675
34.56.29.7E.24.58.3N,Markaz Ratz,Red Sea,Egypt,Red Sea,Marsa Alam,2005,1-Dec-05,10,Bleaching (% of population),0,0,0,0,FALSE,,0,262.15,297.8575,298.6025,293.15,304.7025,2.555,3,-0.1275,0.955,0,-3.1375,3.0875,4.5,7.4925,35.75,7,0,4.0975,24.0875,2.5025,-4.135,2.555,-8.8325,2.7,-3.3775,0.5,2.615,10.25,1.5,0,2.1025,17.0925,0.6725,ERG001,310,0.013383838,34.94891667,24.98336111
34.56.29.7E.24.58.3N,Markaz Ratz,Red Sea,Egypt,Red Sea,Marsa Alam,2007,19-Sep-07,12,Bleaching (% of population),0,0,0,0,FALSE,,0,262.15,301.645,298.6025,293.15,304.7025,2.555,7,0.1325,0.955,0,-3.1375,3.0875,19.25,7.4925,35.75,7,15.995,4.0975,24.0875,2.5025,-0.345,2.555,-8.8325,2.7,-3.3775,6.75,2.615,10.25,1.5,11.395,2.1025,17.0925,0.6725,ERG001,310,0.013383838,34.94891667,24.98336111
34.56.523E.24.58.166N,Marsa Tondoba North,Red Sea,Egypt,Red Sea,Marsa Alam,2004,24-May-04,6,Bleaching (% of population),0,0,0,0,FALSE,,0,262.15,298.31,298.6025,293.15,304.7025,2.555,5,-0.21,0.955,0,-3.1375,3.0875,10.5,7.4925,35.75,7,0.665,4.0975,24.0875,2.5025,-3.6825,2.555,-8.8325,2.7,-3.3775,4.5,2.615,10.25,1.5,0,2.1025,17.0925,0.6725,ERG001,310,0.013383838,34.94205556,24.96944444
34.56.523E.24.58.166N,Marsa Tondoba North,Red Sea,Egypt,Red Sea,Marsa Alam,2004,18-Sep-04,8,Bleaching (% of population),0,0,0,0,FALSE,,0,262.15,301.095,298.6025,293.15,304.7025,2.555,3,-0.495,0.955,0,-3.1375,3.0875,1.75,7.4925,35.75,7,0,4.0975,24.0875,2.5025,-0.8975,2.555,-8.8325,2.7,-3.3775,0,2.615,10.25,1.5,0,2.1025,17.0925,0.6725,ERG001,310,0.013383838,34.94205556,24.96944444
34.56.523E.24.58.166N,Marsa Tondoba North,Red Sea,Egypt,Red Sea,Marsa Alam,2005,16-May-05,5,Bleaching (% of population),0,0,0,0,FALSE,,0,262.15,299.1275,298.6025,293.15,304.7025,2.555,4,1.1225,0.955,0,-3.1375,3.0875,3.75,7.4925,35.75,7,0.7725,4.0975,24.0875,2.5025,-2.865,2.555,-8.8325,2.7,-3.3775,0,2.615,10.25,1.5,0,2.1025,17.0925,0.6725,ERG001,310,0.013383838,34.94205556,24.96944444
34.56.523E.24.58.166N,Marsa Tondoba North,Red Sea,Egypt,Red Sea,Marsa Alam,2006,29-May-06,5,Bleaching (% of population),0,0,0,0,FALSE,,0,262.15,300.0825,298.6025,293.15,304.7025,2.555,5,1.3125,0.955,0,-3.1375,3.0875,6.5,7.4925,35.75,7,1.5625,4.0975,24.0875,2.5025,-1.91,2.555,-8.8325,2.7,-3.3775,0.5,2.615,10.25,1.5,0,2.1025,17.0925,0.6725,ERG001,310,0.013383838,34.94205556,24.96944444
34.56.523E.24.58.166N,Marsa Tondoba North,Red Sea,Egypt,Red Sea,Marsa Alam,2007,28-May-07,5,Bleaching (% of population),0,0,0,0,FALSE,,0,262.15,299.9275,298.6025,293.15,304.7025,2.555,5,1.2175,0.955,0,-3.1375,3.0875,11.75,7.4925,35.75,7,1.6375,4.0975,24.0875,2.5025,-2.065,2.555,-8.8325,2.7,-3.3775,1.5,2.615,10.25,1.5,0,2.1025,17.0925,0.6725,ERG001,310,0.013383838,34.94205556,24.96944444
34.56.567E.24.57.186N,Checkpoint,Red Sea,Egypt,Red Sea,Marsa Alam,2007,23-Sep-07,12,Bleaching (% of population),0,0,0,0,FALSE,,0,262.15,301.645,298.6025,293.15,304.7025,2.555,7,0.1325,0.955,0,-3.1375,3.0875,19.25,7.4925,35.75,7,15.995,4.0975,24.0875,2.5025,-0.345,2.555,-8.8325,2.7,-3.3775,6.75,2.615,10.25,1.5,11.395,2.1025,17.0925,0.6725,ERG001,310,0.013383838,34.94277778,24.95311111
34.56.756E.24.58.37N,Torfa Heaven,Red Sea,Egypt,Red Sea,Marsa Alam,2004,12-Sep-04,11,Bleaching (% of population),0,0,0,0,FALSE,,0,262.15,300.9125,298.6025,293.15,304.7025,2.555,7,-0.8475,0.955,0,-3.1375,3.0875,1.75,7.4925,35.75,7,0,4.0975,24.0875,2.5025,-1.08,2.555,-8.8325,2.7,-3.3775,0,2.615,10.25,1.5,0,2.1025,17.0925,0.6725,ERG001,310,0.013383838,34.94594444,24.97694444
34.56.756E.24.58.37N,Torfa Heaven,Red Sea,Egypt,Red Sea,Marsa Alam,2005,18-Sep-05,6,Bleaching (% of population),0,0,0,0,FALSE,,0,262.15,301.76,298.6025,293.15,304.7025,2.555,4,0.11,0.955,0,-3.1375,3.0875,7.25,7.4925,35.75,7,3.9425,4.0975,24.0875,2.5025,-0.2325,2.555,-8.8325,2.7,-3.3775,0.5,2.615,10.25,1.5,0.5025,2.1025,17.0925,0.6725,ERG001,310,0.013383838,34.94594444,24.97694444
34.56.756E.24.58.37N,Torfa Heaven,Red Sea,Egypt,Red Sea,Marsa Alam,2005,18-Sep-05,14,Bleaching (% of population),0,0,0,0,FALSE,,0,262.15,301.76,298.6025,293.15,304.7025,2.555,4,0.11,0.955,0,-3.1375,3.0875,7.25,7.4925,35.75,7,3.9425,4.0975,24.0875,2.5025,-0.2325,2.555,-8.8325,2.7,-3.3775,0.5,2.615,10.25,1.5,0.5025,2.1025,17.0925,0.6725,ERG001,310,0.013383838,34.94594444,24.97694444
34.56.756E.24.58.37N,Torfa Heaven,Red Sea,Egypt,Red Sea,Marsa Alam,2006,30-Sep-06,5,Bleaching (% of population),0,0,0,0,FALSE,,0,262.15,302.335,298.6025,293.15,304.7025,2.555,4,1.085,0.955,0,-3.1375,3.0875,7.75,7.4925,35.75,7,3.0975,4.0975,24.0875,2.5025,0.3425,2.555,-8.8325,2.7,-3.3775,1.5,2.615,10.25,1.5,2.025,2.1025,17.0925,0.6725,ERG001,310,0.013383838,34.94594444,24.97694444
34.56E.24.56N,Marsa Tondoba/3 Sisters,Red Sea,Egypt,Red Sea,Marsa Alam,2005,10-May-05,5,Bleaching (% of population),0,0,0,0,TRUE,seconds missing from coordinates,0,262.15,298.23,298.615,293.04,304.745,2.56,4,0.655,0.94,0,-3.19,3.165,5,7.485,36.5,7,1.545,4.05,23.2,2.44,-3.825,2.56,-9.005,2.68,-3.425,0,2.565,9.5,1,0,2.03,17.06,0.62,ERG001,310,0.013383838,34.94833333,24.94172222
34.56E.24.56N,Marsa Tondoba/3 Sisters,Red Sea,Egypt,Red Sea,Marsa Alam,2007,22-Sep-07,6,Bleaching (% of population),0,0,0,0,TRUE,seconds missing from coordinates,0,262.15,301.71,298.615,293.04,304.745,2.56,7,0.19,0.94,0,-3.19,3.165,20,7.485,36.5,7,15.14,4.05,23.2,2.44,-0.345,2.56,-9.005,2.68,-3.425,7,2.565,9.5,1,11.525,2.03,17.06,0.62,ERG001,310,0.013383838,34.94833333,24.94172222
34.59.0E.24.56.36N,Gotta Nakari,Red Sea,Egypt,Red Sea,Marsa Alam,2005,19-Sep-05,6,Bleaching (% of population),0,0,0,0,FALSE,,0,300.49,301.6,298.62,292.77,304.82,2.57,4,-0.09,0.95,0,-2.96,3.53,8,7.47,37,7,3.01,4.09,24.48,2.45,-0.41,2.57,-9.23,2.8,-3.37,1,2.63,10,1,1,2.18,18.23,0.69,ERG001,310,0.013383838,34.98333333,24.94333333
34.59.0E.24.56.36N,Gotta Nakari,Red Sea,Egypt,Red Sea,Marsa Alam,2005,19-Sep-05,12,Bleaching (% of population),0,0,0,0,FALSE,,0,300.49,301.6,298.62,292.77,304.82,2.57,4,-0.09,0.95,0,-2.96,3.53,8,7.47,37,7,3.01,4.09,24.48,2.45,-0.41,2.57,-9.23,2.8,-3.37,1,2.63,10,1,1,2.18,18.23,0.69,ERG001,310,0.013383838,34.98333333,24.94333333
34.59.0E.24.56.36N,Gotta Nakari,Red Sea,Egypt,Red Sea,Marsa Alam,2006,13-May-06,12,Bleaching (% of population),0,0,0,0,FALSE,,0,299.92,298.31,298.62,292.77,304.82,2.57,5,0.28,0.95,0,-2.96,3.53,8,7.47,37,7,1.18,4.09,24.48,2.45,-3.7,2.57,-9.23,2.8,-3.37,1,2.63,10,1,0,2.18,18.23,0.69,ERG001,310,0.013383838,34.98333333,24.94333333
34.59.46.2E.24.59.7.3N,Shaab Samadai- Pinacle Kebir,Red Sea,Egypt,Red Sea,Marsa Alam,2006,15-May-06,12,Bleaching (% of population),0,0,0,0,FALSE,,0,299.84,297.82,298.61,293.4,305,2.55,5,0.04,0.94,0,-2.79,3.44,7,7.68,35,7,3.56,3.98,22.46,2.49,-4.29,2.55,-8.72,2.87,-3.5,0,2.16,9,1,0,1.71,15.14,0.5,ERG001,310,0.013383838,34.99616667,24.98536111
35.082857W.8.768218S,Baixa Seca,Atlantic,Brazil,Pernambuco,Tamandare,2006,16-Feb-06,12,Bleaching (% of population),17,21.5,23.5,11,FALSE,,18.25,262.15,301.8,300.445,296.405,305.7775,1.17,4,0.275,0.6825,0,-3.085,4.41,1,3.545,17,2.25,0,1.8325,10.765,0.9875,-0.14,1.17,-5.53,3.83,-1.485,0,1.1925,5.75,0,0,0.9175,7.1925,0.2475,ERG144,16,-0.004015151,-35.08286111,-8.768222222
35.083201W.8.764682N,Claros,Atlantic,Brazil,,,2007,21-Mar-07,6,Bleaching (% of population),5,5,5,0,FALSE,,3.75,262.15,301.5275,300.445,296.405,305.7775,1.17,6,-0.4,0.6825,0,-3.085,4.41,1.75,3.545,17,2.25,1.11,1.8325,10.765,0.9875,-0.4125,1.17,-5.53,3.83,-1.485,0,1.1925,5.75,0,0,0.9175,7.1925,0.2475,ERG144,16,-0.004015151,-35.08319444,-8.764694444
35.086052W.8.769773S,Claros,Atlantic,Brazil,Pernambuco,Tamandare,2006,17-Feb-06,8,Bleaching (% of population),72,71,79,78,FALSE,,75,262.15,301.8,300.445,296.405,305.7775,1.17,4,0.275,0.6825,0,-3.085,4.41,1,3.545,17,2.25,0,1.8325,10.765,0.9875,-0.14,1.17,-5.53,3.83,-1.485,0,1.1925,5.75,0,0,0.9175,7.1925,0.2475,ERG144,16,-0.004015151,-35.08605556,-8.769777778
35.092710W.8.766730N,Ilha da Barra,Atlantic,Brazil,Pernambuco,Tamandare,2004,23-Dec-04,3,Bleaching (% of population),0,0,10,0,FALSE,,2.5,262.15,300.7625,300.445,296.405,305.7775,1.17,5,0.1525,0.6825,0,-3.085,4.41,0,3.545,17,2.25,0,1.8325,10.765,0.9875,-1.175,1.17,-5.53,3.83,-1.485,0,1.1925,5.75,0,0,0.9175,7.1925,0.2475,ERG144,16,-0.004015151,-35.09272222,-8.766722222
35.092710W.8.766730N,Ilha da Barra,Atlantic,Brazil,Pernambuco,Tamandare,2005,10-Dec-05,2.5,Bleaching (% of population),20,25,30,60,FALSE,,33.75,262.15,300.5675,300.445,296.405,305.7775,1.17,6,0.1425,0.6825,0,-3.085,4.41,1.75,3.545,17,2.25,0,1.8325,10.765,0.9875,-1.37,1.17,-5.53,3.83,-1.485,0,1.1925,5.75,0,0,0.9175,7.1925,0.2475,ERG144,16,-0.004015151,-35.09272222,-8.766722222
35.092710W.8.766730N,Ilha da Barra,Atlantic,Brazil,Pernambuco,Tamandare,2006,3-Nov-06,3,Bleaching (% of population),0,0,0,0,FALSE,,0,262.15,300.0375,300.445,296.405,305.7775,1.17,5,0.0025,0.6825,0,-3.085,4.41,0.25,3.545,17,2.25,0.4475,1.8325,10.765,0.9875,-1.9025,1.17,-5.53,3.83,-1.485,0,1.1925,5.75,0,0,0.9175,7.1925,0.2475,ERG144,16,-0.004015151,-35.09272222,-8.766722222
35.098332W.8.789577N,Caxexa,Atlantic,Brazil,,,2003,14-Apr-03,3,Bleaching (% of population),0,0,0,0,FALSE,,0,262.15,302.275,300.445,296.405,305.7775,1.17,5,0.3925,0.6825,0,-3.085,4.41,0.5,3.545,17,2.25,0.5225,1.8325,10.765,0.9875,0.3325,1.17,-5.53,3.83,-1.485,0,1.1925,5.75,0,0,0.9175,7.1925,0.2475,ERG144,16,-0.004015151,-35.09833333,-8.789583333
35.101430W.8.794470N,Camurupim,Atlantic,Brazil,,,2003,14-Apr-03,2,Bleaching (% of population),0,0,0,0,FALSE,,0,301.31,302.4,300.44,296.42,305.76,1.18,5,0.53,0.71,0,-3.33,3.91,1,3.95,18,3,1.07,2.03,10.24,1.13,0.48,1.18,-5.5,3.83,-1.47,0,1.4,7,0,0,1.04,9.06,0.28,ERG144,16,-0.004015151,-35.10141667,-8.794472222
35.11.38.89W.9.2.27.09S,Barreta do Moura Norte,Atlantic,Brazil,Alagoas,Maragogi,2007,15-Dec-07,5,Bleaching (% of population),0,0,0,0,FALSE,,0,300.86,299.56,300.35,296.32,305.89,1.18,6,-0.77,0.66,0,-3.03,3.97,2,3.13,16,2,0,1.63,12.21,0.87,-2.36,1.18,-5.59,3.97,-1.56,0,1.19,7,0,0,0.93,8.3,0.2,ERG144,16,-0.00719697,-35.19413889,-9.040861111
35.11.44.3W.9.2.29.2S,Moura Reef East,Atlantic,Brazil,Alagoas,Maragogi,2006,13-Feb-06,4,Bleaching (% of population),11,19,23.5,45,FALSE,,24.625,301.85,301,300.35,296.32,305.89,1.18,4,-0.31,0.66,0,-3.03,3.97,1,3.13,16,2,0,1.63,12.21,0.87,-0.92,1.18,-5.59,3.97,-1.56,0,1.19,7,0,0,0.93,8.3,0.2,ERG144,16,-0.00719697,-35.19563889,-9.041444444
35.11.44.3W.9.2.29.2S,Moura Reef East,Atlantic,Brazil,Alagoas,Maragogi,2007,13-Dec-07,4,Bleaching (% of population),0,0,0,0,FALSE,,0,300.86,299.56,300.35,296.32,305.89,1.18,6,-0.77,0.66,0,-3.03,3.97,2,3.13,16,2,0,1.63,12.21,0.87,-2.36,1.18,-5.59,3.97,-1.56,0,1.19,7,0,0,0.93,8.3,0.2,ERG144,16,-0.00719697,-35.19563889,-9.041444444
35.11.48.7W.9.2.27S,Moura Reef North,Atlantic,Brazil,Alagoas,Maragogi,2006,13-Feb-06,6,Bleaching (% of population),17.5,20.5,11,9,FALSE,,14.5,301.85,301,300.35,296.32,305.89,1.18,4,-0.31,0.66,0,-3.03,3.97,1,3.13,16,2,0,1.63,12.21,0.87,-0.92,1.18,-5.59,3.97,-1.56,0,1.19,7,0,0,0.93,8.3,0.2,ERG144,16,-0.00719697,-35.19686111,-9.040833333
35.15.10.01W.5.23.30.66S,F020407B,Atlantic,Brazil,Rio Grande do Norte,Maracajau,2007,2-Apr-07,3,Bleaching (% of population),1,0,1,0,FALSE,,0.5,301.49,301.83,300.62,296.43,304.91,1.17,6,-0.12,0.66,0,-2.9,2.97,7,2.73,12,2,1.11,1.49,11.4,0.69,-0.13,1.17,-5.52,2.95,-1.33,2,1.32,7,0,0,0.99,6.66,0.26,ERG144,16,0.0075,-35.25277778,-5.391861111
35.15.10.62W.5.23.32.57S,Poita 030407,Atlantic,Brazil,Rio Grande do Norte,Maracajau,2007,3-Apr-07,3,Bleaching (% of population),1,0,1,0,FALSE,,0.5,301.49,301.83,300.62,296.43,304.91,1.17,6,-0.12,0.66,0,-2.9,2.97,7,2.73,12,2,1.11,1.49,11.4,0.69,-0.13,1.17,-5.52,2.95,-1.33,2,1.32,7,0,0,0.99,6.66,0.26,ERG144,16,0.0075,-35.25294444,-5.392388889
35.15.10W.5.23.30.5S,F040905,Atlantic,Brazil,Rio Grande do Norte,Maxaranguape,2005,4-Sep-05,2,Bleaching (% of population),0,0,0,0,FALSE,,0,299.8,299.51,300.62,296.43,304.91,1.17,8,0.3,0.66,0,-2.9,2.97,1,2.73,12,2,0,1.49,11.4,0.69,-2.45,1.17,-5.52,2.95,-1.33,0,1.32,7,0,0,0.99,6.66,0.26,ERG144,16,0.0075,-35.25277778,-5.391805556
35.15.11.7W.5.23.21.23S,F310307,Atlantic,Brazil,Rio Grande do Norte,Maracajau,2007,31-Mar-07,2,Bleaching (% of population),5,5,5,5,FALSE,,5,301.49,301.83,300.62,296.43,304.91,1.17,6,-0.12,0.66,0,-2.9,2.97,7,2.73,12,2,1.11,1.49,11.4,0.69,-0.13,1.17,-5.52,2.95,-1.33,2,1.32,7,0,0,0.99,6.66,0.26,ERG144,16,0.0075,-35.25325,-5.389222222
35.15.11.7W.5.23.23.53S,Ponto da M. hartii,Atlantic,Brazil,Rio Grande do Norte,Maracajau,2007,1-Apr-07,2,Bleaching (% of population),5,5,5,5,FALSE,,5,301.49,301.83,300.62,296.43,304.91,1.17,6,-0.12,0.66,0,-2.9,2.97,7,2.73,12,2,1.11,1.49,11.4,0.69,-0.13,1.17,-5.52,2.95,-1.33,2,1.32,7,0,0,0.99,6.66,0.26,ERG144,16,0.0075,-35.25325,-5.389861111
35.15.11.81W.5.23.30.34S,F020407A,Atlantic,Brazil,Rio Grande do Norte,Maracajau,2007,2-Apr-07,3,Bleaching (% of population),2,2,2,2,FALSE,,2,301.49,301.83,300.62,296.43,304.91,1.17,6,-0.12,0.66,0,-2.9,2.97,7,2.73,12,2,1.11,1.49,11.4,0.69,-0.13,1.17,-5.52,2.95,-1.33,2,1.32,7,0,0,0.99,6.66,0.26,ERG144,16,0.0075,-35.25327778,-5.39175
35.15.12.6W.5.23.32.3S,F050905B,Atlantic,Brazil,Rio Grande do Norte,Maxaranguape,2005,5-Sep-05,2,Bleaching (% of population),0,1,0,0,FALSE,,0.25,299.8,299.51,300.62,296.43,304.91,1.17,8,0.3,0.66,0,-2.9,2.97,1,2.73,12,2,0,1.49,11.4,0.69,-2.45,1.17,-5.52,2.95,-1.33,0,1.32,7,0,0,0.99,6.66,0.26,ERG144,16,0.0075,-35.2535,-5.392305556
35.15.8.82W.5.23.33.75S,F040407,Atlantic,Brazil,Rio Grande do Norte,Maracajau,2007,4-Apr-07,3,Bleaching (% of population),0,0,0,1,FALSE,,0.25,301.31,302.25,300.62,296.43,304.91,1.17,5,0.33,0.66,0,-2.9,2.97,6,2.73,12,2,1.11,1.49,11.4,0.69,0.29,1.17,-5.52,2.95,-1.33,1,1.32,7,0,0,0.99,6.66,0.26,ERG144,16,0.0075,-35.25244444,-5.392722222
35.188948W.9.014975S,Pedra Virada,Atlantic,Brazil,Alagoas,Maragogi,2006,14-Feb-06,5,Bleaching (% of population),2.1,12.5,15,8.5,FALSE,,9.525,301.89,301,300.38,296.45,305.83,1.21,4,-0.33,0.71,0,-3.04,5.74,1,3.19,15,2,0,1.81,12.65,0.98,-0.96,1.21,-5.5,3.86,-1.57,0,1.03,5,0,0,0.85,6.85,0.24,ERG144,16,-0.00719697,-35.18894444,-9.014972222
35.194092W.9.032168S,Pedra do Meio,Atlantic,Brazil,Alagoas,Maragogi,2006,14-Feb-06,4,Bleaching (% of population),10,11,5.5,7.5,FALSE,,8.5,301.89,301,300.38,296.45,305.83,1.21,4,-0.33,0.71,0,-3.04,5.74,1,3.19,15,2,0,1.81,12.65,0.98,-0.96,1.21,-5.5,3.86,-1.57,0,1.03,5,0,0,0.85,6.85,0.24,ERG144,16,-0.00719697,-35.19408333,-9.032166667
35.195868W.9.041992N,Paredao Pai Bento,Atlantic,Brazil,,,2003,18-Apr-03,6,Bleaching (% of population),0,0,0,0,FALSE,,0,301.06,301.16,300.35,296.32,305.89,1.18,6,-0.6,0.66,0,-3.03,3.97,1,3.13,16,2,1.3,1.63,12.21,0.87,-0.76,1.18,-5.59,3.97,-1.56,0,1.19,7,0,0,0.93,8.3,0.2,ERG144,16,-0.00719697,-35.19586111,-9.042277778
35.195921W.9.042701N,Esquerda Gales,Atlantic,Brazil,,,2003,18-Feb-03,3.8,Bleaching (% of population),0,0,0,0,FALSE,,0,301.85,302.7,300.35,296.32,305.89,1.18,5,1.3,0.66,0,-3.03,3.97,0,3.13,16,2,0,1.63,12.21,0.87,0.78,1.18,-5.59,3.97,-1.56,0,1.19,7,0,0,0.93,8.3,0.2,ERG144,16,-0.00719697,-35.19625,-9.042694444
35.19780W.09.04272N,Paredao Pai Bento 2,Atlantic,Brazil,,,2003,4-Jul-03,5,Bleaching (% of population),0,0,0,0,FALSE,,0,298.96,299.21,300.35,296.32,305.89,1.18,7,-0.25,0.66,0,-3.03,3.97,2,3.13,16,2,1.09,1.63,12.21,0.87,-2.71,1.18,-5.59,3.97,-1.56,0,1.19,7,0,0,0.93,8.3,0.2,ERG144,16,-0.00719697,-35.19780556,-9.042722222
35.198930W.9.043870N,Gales 150403A,Atlantic,Brazil,,,2003,15-Apr-03,3,Bleaching (% of population),0,0,0,0,FALSE,,0,301.27,301.77,300.35,296.32,305.89,1.18,5,-0.08,0.66,0,-3.03,3.97,1,3.13,16,2,1.3,1.63,12.21,0.87,-0.14,1.18,-5.59,3.97,-1.56,0,1.19,7,0,0,0.93,8.3,0.2,ERG144,16,-0.00719697,-35.19891667,-9.043861111
35.199930W.9.048462S,Lastro do Jorge,Atlantic,Brazil,Alagoas,Maragogi,2006,15-Feb-06,3,Bleaching (% of population),20,34.5,69,37.5,FALSE,,40.25,301.9,301.16,300.35,296.32,305.89,1.18,5,-0.29,0.66,0,-3.03,3.97,1,3.13,16,2,0,1.63,12.21,0.87,-0.76,1.18,-5.59,3.97,-1.56,0,1.19,7,0,0,0.93,8.3,0.2,ERG144,16,-0.00719697,-35.19994444,-9.048472222
35.200018W.9.048448S,Filha das Gales,Atlantic,Brazil,Alagoas,Maragogi,2006,15-Feb-06,4,Bleaching (% of population),9,10,13.5,6,FALSE,,9.625,301.9,301.16,300.35,296.32,305.89,1.18,5,-0.29,0.66,0,-3.03,3.97,1,3.13,16,2,0,1.63,12.21,0.87,-0.76,1.18,-5.59,3.97,-1.56,0,1.19,7,0,0,0.93,8.3,0.2,ERG144,16,-0.00719697,-35.2,-9.048444444
35.200018W.9.048448S,Filha das Gales,Atlantic,Brazil,Alagoas,Maragogi,2007,15-Dec-07,3,Bleaching (% of population),0,0,0,0,FALSE,,0,300.86,299.56,300.35,296.32,305.89,1.18,6,-0.77,0.66,0,-3.03,3.97,2,3.13,16,2,0,1.63,12.21,0.87,-2.36,1.18,-5.59,3.97,-1.56,0,1.19,7,0,0,0.93,8.3,0.2,ERG144,16,-0.00719697,-35.2,-9.048444444
35.252200W.5.388100N,F050203B/F070905B,Atlantic,Brazil,,,2005,7-Sep-05,2.4,Bleaching (% of population),0,0,0,0,FALSE,,0,299.96,299.36,300.62,296.43,304.91,1.17,9,0.05,0.66,0,-2.9,2.97,1,2.73,12,2,0,1.49,11.4,0.69,-2.6,1.17,-5.52,2.95,-1.33,0,1.32,7,0,0,0.99,6.66,0.26,ERG144,16,0.0075,-35.25219444,-5.388111111
35.2528W.5.39086S,Parrachos de Maracajau,Atlantic,Brazil,Esquerda do Flutuante,,2004,24-Mar-04,4,Bleaching (% of population),17.5,17.5,17.5,17.5,FALSE,,17.5,301.64,301.75,300.62,296.43,304.91,1.17,6,-0.2,0.66,0,-2.9,2.97,1,2.73,12,2,0,1.49,11.4,0.69,-0.21,1.17,-5.52,2.95,-1.33,0,1.32,7,0,0,0.99,6.66,0.26,ERG144,16,0.0075,-35.25280556,-5.390861111
35.254000W.5.390400N,F060203 Mano A/F060905A,Atlantic,Brazil,,,2005,6-Sep-05,2.5,Bleaching (% of population),0,0,0,0,FALSE,,0,299.8,299.51,300.62,296.43,304.91,1.17,8,0.3,0.66,0,-2.9,2.97,1,2.73,12,2,0,1.49,11.4,0.69,-2.45,1.17,-5.52,2.95,-1.33,0,1.32,7,0,0,0.99,6.66,0.26,ERG144,16,0.0075,-35.254,-5.390388889
